"","x","z1","z2","z3","z4"
"1",12.8201815727849,3,1,3,7
"2",21.0556781641792,3,6,4,13
"3",38.2340531198232,10,3,7,20
"4",19.7014421954258,2,4,7,13
"5",31.1783935103264,6,6,6,18
"6",23.0844936259323,5,1,7,13
"7",19.4614196391068,4,3,4,11
"8",25.9138011739133,6,5,3,14
"9",31.9475512247763,9,4,3,16
"10",34.2739565328083,10,2,5,17
"11",23.4811601260865,5,5,3,13
"12",17.9464965885328,3,1,7,11
"13",27.8842943622103,9,1,3,13
"14",30.4879155116131,9,2,4,15
"15",34.476589976068,9,3,6,18
"16",20.861351088591,3,4,6,13
"17",33.6074959667878,8,5,5,18
"18",35.8332823185896,10,5,3,18
"19",26.9247935239999,7,3,4,14
"20",37.3616988120079,10,6,3,19
