"","x","z1","z2"
"1",4.977,5.88,3.57
"2",5.162,6.54,3.49
"3",6.482,10.12,3.12
"4",5.147,7.14,2.89
"5",5.683,7.26,4.13
"6",7.359,10.43,5.66
"7",4.926,7.92,0.97
"8",4.843,4.47,5.42
"9",5.978,5.63,7.47
"10",6.626,6.11,9.08
"11",7.54,9.45,7.6
"12",6.48,7.72,6.51
"13",5.169,7.8,1.55
"14",5.527,7.22,3.8
"15",5.2,5.89,4.3
"16",7.521,10.57,6.41
"17",6.114,8,4.79
"18",3.438,3.07,2.48
"19",7.31,8.4,8.37
"20",6.043,6.05,6.82
"21",5.014,4.86,5.47
"22",6.372,6.56,7.44
"23",4.218,4.95,2.32
"24",5.621,5.54,6.32
"25",4.941,5.75,3.95
"26",4.91,3.63,6.37
"27",6.445,8.68,4.88
"28",6.252,7.31,6.27
"29",5.62,4.72,7.67
"30",6.911,9.51,5.01
"31",6.718,7.85,7.04
"32",4.757,6.41,2.62
"33",6.111,8.79,3.56
"34",7.432,8.76,8.04
"35",6.613,8.64,5.75
"36",5.025,8.38,0.9
"37",5.419,8.11,2.27
"38",5.689,6.88,4.6
"39",6.107,6.39,6.73
"40",5.411,6.24,4.8
"41",5.577,5.61,6.25
"42",6.222,6.58,6.92
"43",5.798,4.47,8.34
"44",7.6,11.34,5.11
"45",6.718,9.42,4.9
"46",3.892,4.75,1.49
"47",5.494,6.19,5.2
"48",5.069,6.07,3.86
"49",5.876,8.56,3.05
"50",5.673,6.83,4.64
"51",6.516,7.51,7.03
"52",4.584,6.94,1.01
"53",5.539,6.91,4.15
"54",6.892,9.74,5.23
"55",5.107,6.55,3.21
"56",7.172,10.03,5.67
"57",4.857,3.9,5.82
"58",6.274,8.17,4.93
"59",4.459,7.25,0.07
"60",7.52,7.43,10.14
"61",6.024,7.76,4.59
"62",5.859,6,6.3
"63",5.795,6.33,5.55
"64",5.598,4.96,7.05
"65",5.324,4.86,6.64
"66",5.92,7.61,4.58
"67",6.398,7.9,5.76
"68",5.269,7.11,3.11
"69",7.077,8.84,6.71
"70",7.215,11.1,4.08
"71",6.831,6.02,9.83
"72",2.947,2.38,1.7
"73",6.345,9.01,4.07
"74",5.699,5.58,6.65
"75",5.559,5.62,6.02
"76",6.168,9.05,3.82
"77",4.919,6.43,3.01
"78",4.845,4.56,5.29
"79",5.892,7.36,4.97
"80",4.579,6.72,1.42
"81",5.844,7.01,5.07
"82",6.271,7.77,5.38
"83",5.573,6.26,5.35
"84",5.633,8.29,2.89
"85",5.857,6.56,5.95
"86",6.871,7.66,7.76
"87",6.937,9.19,5.91
"88",5.491,7.87,2.73
"89",5.263,6.35,4.13
"90",6.823,9.3,5.69
"91",6.204,8.99,3.71
"92",5.003,8.1,0.68
"93",6.583,7.48,6.77
"94",4.759,5.74,3.34
"95",6.466,9.72,3.85
"96",6.346,5.8,8.01
"97",7.075,11.37,3.45
"98",7.53,10.07,6.69
"99",4.877,6.53,2.48
"100",4.686,4.95,4.29
"101",5.151,5.58,4.85
"102",5.225,7.51,2.66
"103",5.188,6.51,3.73
"104",5.508,6.3,4.94
"105",5.374,5.1,6.34
"106",4.803,6.91,1.7
"107",4.976,5.43,4.3
"108",4.872,3.66,6.51
"109",5.183,6.24,3.92
"110",6.708,8.84,5.45
"111",5.687,5.85,5.98
"112",6.439,8.22,5.54
"113",4.892,3.76,6.31
"114",5.677,6.89,4.75
"115",6.039,8.04,4.17
"116",4.509,7.6,-0.29
"117",5.869,7.21,4.81
"118",5.532,5.72,5.86
"119",5.46,5.3,6.07
"120",4.667,4.95,3.89
"121",6.912,7.24,8.56
"122",5.129,5.11,5.57
"123",5.515,6.02,5.25
"124",6.282,6.49,7.54
"125",6.844,10.69,3.56
"126",5.023,5.7,4.1
"127",7.453,7.47,9.79
"128",5.879,7.16,5.02
"129",5.976,5.08,8.27
"130",4.929,6.86,2.12
"131",6.929,9.89,4.62
"132",6.432,7.9,5.76
"133",5.915,7.08,5.6
"134",4.931,6.16,2.99
"135",4.165,2.89,5.04
"136",6.085,9.26,2.85
"137",5.092,4.08,6.43
"138",7.038,8.48,7.17
"139",5.989,10.82,0.55
"140",5.436,4.11,7.47
"141",5.652,8.4,2.52
"142",5.915,6.48,5.91
"143",5.059,3.86,6.32
